external_id,category,skill,difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_answer
"2cd8bd76","Reading and Writing","Command of Evidence","Medium","Percent Percentage of Maize Exported by Three Countries for Marketing Years 2009/2010�2013/2014 90 80 70 60 50 40 30 20 10 0 2009/20102010/20112011/20122012/20132013/2014 Marketing year Argentina Brazil United States Skill Command of Evidence Difficulty Argentina, Brazil, and the United States are among the world's leading producers of maize (corn), and each country exports a certain percentage of maize each marketing year, which runs from March to February in Argentina and Brazil and from September to August in the United States. A student is researching those percentages and finds that for the marketing year 2012/2013, the percentage of maize exported by ______ Which choice most effectively uses data from the graph to complete the text?","Brazil increased from the previous marketing year but remained lower than the percentage exported by the United States.","Brazil exceeded the percentage exported by Argentina for the first time.","Argentina decreased from the previous marketing year but remained the highest among the three countries.","the United States reached its highest point during the five marketing years.","C"
"90856dbc","Reading and Writing","Command of Evidence","Medium","""Lines Written in Early Spring"" is a 1798 poem by William Wordsworth. In the poem, the speaker describes having contradictory feelings while experiencing the sights and sounds of a spring day: ______ Which quotation from ""Lines Written in Early Spring"" most effectively illustrates the claim?","""Through primrose-tufts, in that sweet bower, / The periwinkle trail'd its wreathes; / And 'tis my faith that every flower / Enjoys the air it breathes.""","""The budding twigs spread out their fan, / To catch the breezy air; / And I must think, do all I can, / That there was pleasure there.""","""The birds around me hopp'd and play'd: / Their thoughts I cannot measure, / But the least motion which they made, / It seem'd a thrill of pleasure.""","""I heard a thousand blended notes, / While in a grove I [sat] reclined, / In that sweet mood when pleasant thoughts / Bring sad thoughts to the mind.""","D"
"119c4069","Reading and Writing","Command of Evidence","Medium","""Looking Back on Girlhood"" is an 1892 short story by Sarah Orne Jewett. In the story, the narrator explains that she prefers her hometown to other places she has visited: ______ Which quotation from ""Looking Back on Girlhood"" most effectively illustrates this claim?","""There is always something fresh, something to be traced or discovered, something particularly to be remembered.""","""Two large rivers join just below the village at the head of tide-water, and these, with the great inflow from the sea, make a magnificent stream, bordered by lovely green fields that slope gently to long lines of willows at the water's edge.""","""I have had a good deal of journeying in my life, and taken great delight in it, but I have never taken greater delight than in my rides and drives and tramps and voyages within the borders of my native town.""","""There is never-ending pleasure in making one's self familiar with such a region.""","C"
"d7b39ff4","Reading and Writing","Central Ideas and Details","Easy","The following text is adapted from Sylvia Acevedo's 2018 memoir Path to the Stars: My Journey from Girl Scout to Rocket Scientist. The narrator is traveling by car with her family to Mexico City. Mario and Laura are her brother and sister. Mario and I played games to see how many different license plates we could spot, and Laura liked to look for children in the back seats of the cars we passed. We were used to the forty-five-minute drive to El Paso and familiar with the six-hour ride to Chihuahua, but I wondered what the long journey to Mexico City would be like. �2018 by Sylvia Acevedo According to the text, what did the narrator and Mario do while riding in the car?","They read books.","They sang songs.","They went to sleep.","They played games.","D"
"ae51efb8","Reading and Writing","Command of Evidence","Medium","The Post Office is a 1912 play by Rabindranath Tagore, originally written in Bengali. The character Amal is a young boy who imagines that the people he sees passing the window of his home are carefree even when engaged in work or chores, as is evident when he says to the daughter of a flower seller, ______ Which quotation from The Post Office most effectively illustrates the claim?","""I see, you don't wish to stop; I don't care to stay on here either.""","""Oh, flower gathering? That is why your feet seem so glad and your anklets jingle so merrily as you walk.""","""I'll pay when I grow up--before I leave to look for work out on the other side of that stream there.""","""Wish I could be out too. Then I would pick some flowers for you from the very topmost branches right out of sight.""","B"
"3009048e","Reading and Writing","Command of Evidence","Easy","Area (square km) Area of Three Glaciers in the 2016 Swiss Glacier Inventory 50 40 30 20 10 0 Glacier Skill Command of Evidence Difficulty Gorner Fiescher Unteraar To monitor changes to glaciers in Switzerland, the government periodically measures them for features like total area of ice and mean ice thickness, which are then reported in the Swiss Glacier Inventory. These measurements can be used to compare the glaciers. For example, the Gorner glacier had ______ Which choice most effectively uses data from the graph to complete the example?","a larger area than either the Fiescher glacier or the Unteraar glacier.","a smaller area than the Fiescher glacier but a larger area than the Unteraar glacier.","a smaller area than either the Fiescher glacier or the Unteraar glacier.","a larger area than the Fiescher glacier but a smaller area than the Unteraar glacier.","A"
"4aa75b60","Reading and Writing","Command of Evidence","Easy","Annual Car Production in the United States, 1910�1925 Year Number of cars produced Number of companies producing cars 1910 123,990 320 1915 548,139 224 1920 1,651,625 197 1925 3,185,881 80 A student is using the table as part of a social studies class presentation on the US auto industry in the early twentieth century. The student notes that, according to the table, from 1910 to 1925 ______ Which choice most effectively uses data from the table to complete the statement?","the number of cars produced increased but the number of companies producing cars decreased.","both the number of cars produced and the number of companies producing cars remained unchanged.","the number of cars produced decreased but the number of companies producing cars remained unchanged.","both the number of cars produced and the number of companies producing cars increased.","A"
"da9ad052","Reading and Writing","Command of Evidence","Easy","Number of Museum Visits (in Millions) from 2016 to 2019 Museum 2016 2017 2018 2019 National Museum of the American Indian 1.1 1.2 1.1 0.96 National Museum of African American History and Culture 0.73 2.4 1.9 2.0 A student is researching the number of visits each year to two museums, the National Museum of the American Indian and the National Museum of African American History and Culture. Of the four years included in the table, the year when both museums had the highest number of visits was ______ Which choice most effectively uses data from the table to complete the statement?","2016.","2018.","2019.","2017.","D"
"835583c7","Reading and Writing","Central Ideas and Details","Easy","Ruth Asawa was an accomplished artist who worked in many art forms, including her unique tied-wire sculptures, but she was dedicated to more than the creation of art. Asawa also wanted to bring art to children in her hometown of San Francisco, California. To that end, in 1968 she cofounded the Alvarado School Arts Workshop, which brought works of art and artists into public schools, and in 1982 she helped found a San Francisco public arts high school, which was later named after her. Which choice best states the main idea of the text?","Asawa inspired many other artists to share their work with students in public schools.","Asawa's unique sculptures were appreciated more by local art communities than they were nationwide.","Asawa's interest in art education prompted her to create art programs for students in San Francisco.","Asawa left a promising career as a sculptor to work as an art teacher in San Francisco schools.","C"
"6264a75d","Reading and Writing","Inferences","Medium","Over 600 languages are spoken in New York City in addition to English--one can find Amharic spoken in the neighborhood of Norwood, or Ilocano in Woodside. Most speakers of Chinese languages reside in the neighborhood of Flushing (part of New York City's borough of Queens) and in Chinatown, in the borough of Manhattan. New immigrants from north China, where Mandarin is the primary first language, tend to settle in Queens, while new immigrants from south China, where many people speak Cantonese or Fuzhounese as a first language, tend to settle in Manhattan. It can therefore be inferred that ______ Which choice most logically completes the text?","languages tend to change more rapidly in areas where many languages are spoken than in areas where few languages are spoken.","languages spoken by immigrant peoples can differ significantly in vocabulary and pronunciation from those same languages in their country of origin.","there is a positive correlation between the physical size of a country and the number of languages spoken in that country.","correlations in a country between languages and regions where they are spoken can replicate themselves in a new country to which the original country's citizens emigrate.","D"
"87f45e64","Reading and Writing","Central Ideas and Details","Easy","Arthropods--brine shrimp, hawk moths, and many other invertebrate animals--have a nervous system made up of a brain, nerve cord, and other nerves. Researchers have gained insights about this system in ancient arthropods from traces found in various fossils. For example, in a study of two fossils of the extinct arthropod species Mollisonia symmetrica, Javier Ortega-Hern�ndez, James Weaver, and team observed clear signs of a nerve cord. They also saw possible indications of a synganglion, a brain-like mass of nerves. Researchers hope to identify more features of the nervous systems of prehistoric arthropods as additional fossils are found. Which choice best states the main idea of the text?","There are several similarities between the brains of hawk moths and the brains of brine shrimp.","Fossil evidence can contribute to the understanding of the nervous system in ancient arthropods.","Newly discovered fossils suggest that ancient hawk moths and ancient brine shrimp had spines.","Researchers need to focus on finding more fossils of ancient arthropods.","B"
"a0f3b38c","Reading and Writing","Command of Evidence","Easy","Scientists have long believed that giraffes are mostly silent and communicate only visually with one another. But biologist Angela St�ger and her team analyzed hundreds of hours of recordings of giraffes in three European zoos and found that giraffes make a very low-pitched humming sound. The researchers claim that the giraffes use these sounds to communicate when it's not possible for them to signal one another visually. Which finding, if true, would most directly support St�ger and her team's claim?","Giraffes have an excellent sense of vision and can see in color.","The giraffes only produced the humming sounds at night when they couldn't see one another.","Wild giraffes have never been recorded making humming sounds.","Researchers observed other animals in European zoos humming.","B"
"2e16d315","Reading and Writing","Command of Evidence","Easy","Number and Origin of Clamshell Tools Found at Different Depths below the Surface in Neanderthal Cave Depth of tools found below surface in Clamshells that Neanderthals collected cave (meters) from the beach Clamshells that Neanderthals harvested from the seafloor 2�3 7 0 3�4 99 33 4�5 2 0 5�6 18 7 6�7 1 0 Two kinds of clamshell tools used by Neanderthals were dug up in a cave on the western coast of Italy. Archaeologist Paola Villa and her colleagues studied the tools and determined that Neanderthals either collected clams that had washed onto the beach or harvested clams from the seafloor and then sharpened the shells to make tools. The highest number of tools made from clamshells that were collected from the beach was found at a depth of ______ Which choice most effectively uses data from the table to complete the text?","5�6 meters below the surface.","4�5 meters below the surface.","3�4 meters below the surface.","6�7 meters below the surface.","C"
"206ecbfd","Reading and Writing","Command of Evidence","Medium","Plants like potatoes, tomatoes, and soybeans are susceptible to bacterial wilt disease caused by the bacteria Ralstonia solanacearum. A multinational team of scientists led by Zhong Wei studied whether other microbes in the soil might influence the degree to which plants are affected by the disease. The team sampled soil surrounding individual tomato plants over time and compared the results of plants that became diseased with those that remained healthy. They concluded that the presence of certain microbes in the soil might explain the difference between healthy and diseased plants. Which finding, if true, would most directly support the team's conclusion?","The soil surrounding healthy plants contained significantly higher concentrations of microbes known to inhibit Ralstonia solanacearum than the soil surrounding diseased plants did.","The soil surrounding the plants contained high concentrations of Ralstonia solanacearum regardless of whether the plants were affected by wilt disease.","The soil surrounding healthy plants tended to have significantly higher moisture levels than the soil surrounding diseased plants did.","By the end of the experiment, over half the plants had been affected by wilt disease regardless of differences in the types and concentrations of microbes in the surrounding soil.","A"
"7b249420","Reading and Writing","Inferences","Medium","Biologist Natacha Bodenhausen and colleagues analyzed the naturally occurring bacterial communities associated with leaves and roots of wild Arabidopsis thaliana, a small flowering plant. The researchers found many of the same bacterial genera in both the plants' leaves and roots. To explain this, the researchers pointed to the general proximity of","thaliana leaves to the ground and noted that rain splashing off soil could bring soil-based bacteria into contact with the leaves. Alternatively, the researchers noted that wind, which may be a source of bacteria in the aboveground portion of plants, could also bring bacteria to the soil and roots. Either explanation suggests that ______ Which choice most logically completes the text? A. bacteria carried by wind are typically less beneficial to A. thaliana than soil-based bacteria are.","some bacteria in A. thaliana leaves and roots may share a common source.","many bacteria in A. thaliana leaves may have been deposited by means other than rain.","A. thaliana leaves and roots are especially vulnerable to harmful bacteria.","B"
"25f5e913","Reading and Writing","Command of Evidence","Medium","Days Days per Winter That Lakes Have Surface Ice 200 160 120 80 40 0 1980�81 2005�06 Winter Ouluj�rvi Mirror Lake Lake Neusiedl Skill Command of Evidence Difficulty It is common for freshwater lakes near or above a latitude of 45� north of the equator, like Lake Mj�sa in Norway, to accumulate surface ice in winter. The amount and duration of ice depends on many factors, including local weather conditions as well as the lake's depth, volume, and surface area, but a climate researcher claims that some lakes in these latitudes have seen a decline in the duration of ice between the early 1980s and the mid-2000s. She cites as a typical example ______ Which choice most effectively uses data from the graph to complete the researcher's example?","both Lake Neusiedl and Ouluj�rvi, which had fewer than 195 days of ice in the winter of 1980�81.","Lake Neusiedl, which had more days of ice in the winter of 2005�06 than it did in the winter of 1980�81.","Ouluj�rvi, which had fewer days of ice in the winter of 2005�06 than it did in the winter of 1980�81.","both Lake Neusiedl and Ouluj�rvi, which had more than 105 days of ice in the winter of 2005�06.","C"
"98caa09d","Reading and Writing","Command of Evidence","Easy","Machines sold 60,000 50,000 40,000 30,000 20,000 10,000 0 Singer Sewing Machine Sales in Four Countries, 1903�1918 1903 1908 1913 1918 Year New Zealand Australia the Philippines Turkey Skill Command of Evidence Difficulty By the early 1900s, the Singer Corporation, a US sewing machine manufacturer founded in 1851, began to see rapidly increasing sales abroad, particularly in Russia, Germany, and the United Kingdom. These markets were responsible for the bulk of Singer's overseas sales, but demand for the company's machines in other countries also grew significantly in the early twentieth century. For instance, sales of their sewing machines in ______ Which choice most effectively uses data from the graph to complete the example?","the Philippines increased dramatically from 1908 to 1918.","New Zealand were largely consistent from 1903 to 1918.","Australia increased steadily from 1903 to 1918.","Turkey declined substantially from 1913 to 1918.","A"
"ce4a20fb","Reading and Writing","Command of Evidence","Easy","Olms are salamanders that live in underwater caves. Scientists once thought that olms stay in their caves all their lives. However, Raoul Manenti and team claim that olms regularly come to the surface to perform important activities such as finding food. Which finding, if true, would most strongly support the underlined claim?","Researchers determine that olms don't breed often.","Researchers confirm that olms live in only a few cave systems.","Researchers discover that earthworms from surface soils are a major part of olms' diet.","Researchers learn that olms' brains differ from other salamanders' brains.","C"
"ff953239","Reading and Writing","Central Ideas and Details","Medium","The recovery of a 1,000-year-old Chinese shipwreck in the Java Sea near present-day Indonesia has yielded a treasure trove of artifacts, including thousands of small ceramic bowls. Using a portable X-ray fluorescence analyzer tool, Lisa Niziolek and her team were able to detect the chemical composition of these bowls without damaging them. By comparing the chemical signatures of the bowls with those of the materials still at old Chinese kiln sites, Niziolek and her team can pinpoint which Chinese kilns likely produced the ceramic bowls. Which choice best states the main idea of the text?","Because of a new technology, researchers can locate and recover more shipwrecks than they could in the past.","Researchers have been able to identify the location of a number of Chinese kilns in operation 1,000 years ago.","With the help of a special tool, researchers have determined the likely origin of bowls recovered from a shipwreck.","Before the invention of portable X-ray fluorescence, researchers needed to take a small piece out of an artifact to analyze its components.","C"
"4f1d7c3c","Reading and Writing","Command of Evidence","Easy","Effect of Neighboring Species on Pollinator Visits to Target Species Neighboring species Target species Effect value Virginia spring beauty star chickweed 0.4853 Himalayan balsam marsh woundwort 0.7905 common dandelion cat's ear -0.6254 Researchers Carolina Laura Morales and Anna Traveset gathered data about flowering plants growing alongside each other in various locations. In each case, the researchers identified one plant as a ""target species"" and a nearby plant as a ""neighboring species."" The researchers then calculated a positive or negative value to show how the neighboring species affected pollinator visits to the target species. One example of a neighboring species with a negative effect value is the ______ Which choice most effectively uses data from the table to complete the example?","Himalayan balsam.","common dandelion.","star chickweed.","Virginia spring beauty.","B"
"a28ad182","Reading and Writing","Inferences","Easy","A typical string quartet consists of two violin players, a viola player, and a cello player. When a string quartet performs, one violinist and the cellist usually sit facing the audience. The violist and the other violinist usually sit facing each other. This seating arrangement causes the viola's carved sound openings, or f-holes, to be angled away from the audience. Therefore, if the viola player has a musical solo and wants to make sure that the audience can hear it clearly, the violist typically ______ Which choice most logically completes the text?","instructs the other members of the quartet to play louder.","plays at the same volume as the cellist.","shifts position in order to face outwards toward the audience.","looks at the sheet music instead of looking at the audience.","C"
"93a05d57","Reading and Writing","Inferences","Medium","When the Vinland Map, a map of the world purported to date to the mid-1400s, surfaced in 1957, some scholars believed it demonstrated that European knowledge of the eastern coast of present-day North America predated Christopher Columbus's 1492 arrival. In 2021, a team including conservators Marie-France Lemay and Paula Zyats and materials scientist Anik� Bezur performed an extensive analysis of the map and the ink used. They found that the ink contains titanium dioxide, a compound that was first introduced in ink manufacturing in the early 1900s. Therefore, the team concluded that ______ Which choice most logically completes the text?","mid-1400s Europeans could not have known about the eastern coast of present-day North America.","the Vinland Map could not have been drawn by mid-1400s mapmakers.","mapmakers must have used titanium compounds in their ink in the 1400s.","there isn't enough information to determine when the ink was created.","B"
"0d564c7f","Reading and Writing","Command of Evidence","Medium","Approximate number of jobs (in thousands) Employment in Technology in Hawaii in 2010 and 2019 7 6 5 4 3 2 1 0 2010 2019 Year engineering services technical consulting services computer services Skill Command of Evidence Difficulty A student in Hawaii is interested in pursuing a career in technology and decides to do some research on local trends. The student notices that the number of jobs in computer services in 2010 was ______ Which choice most effectively uses data from the graph to complete the statement?","higher than the number of jobs in technical consulting services, and in 2019 was about the same as the number of jobs in engineering services.","about the same as the number of jobs in engineering services, and in 2019 was about the same as the number of jobs in technical consulting services.","lower than the number of jobs in engineering services, but in 2019 was higher than the number of jobs in engineering services.","about the same as the number of jobs in technical consulting services, but in 2019 was lower than the number of jobs in technical consulting services.","B"
"bda73a5a","Reading and Writing","Central Ideas and Details","Medium","Archaeologists have discovered a runestone in Norway that may contain the earliest example of written words in Scandinavia. Carbon dating at the discovery site revealed that the stone was likely carved between 1 and 250 CE. Runologist Kristel Zilmer believes the stone will be helpful in learning more about the use of runic alphabets in early Iron Age Scandinavia. Which choice best states the main topic of the text?","Battles of the Iron Age","A runestone found in Norway","A new method for dating rock samples","The research interests of Kristel Zilmer","B"
"26a81ff6","Reading and Writing","Command of Evidence","Easy","Over the course of the 1900s, more and more Native Hawaiians spoke English instead of the Hawaiian language. To preserve their language, Native Hawaiian teachers founded the `Aha Pnana Leo preschool in 1984. They spoke Hawaiian while teaching, and their Native Hawaiian students were soon able to understand and speak it themselves. The school was a huge success. Eventually it opened locations around Hawai`i and started teaching Hawaiian to elementary and high school students too. Thanks to `Aha Pnana Leo, the number of young people who speak the language has increased. Which statement, if true, would most directly support the underlined claim?","Fewer than fifty children could speak Hawaiian when `Aha Pnana Leo was founded, but now more than 2,000 students at `Aha Pnana Leo speak it.","Roughly 680,000 Native Hawaiian people lived in the United States in 2020, and a little less than half of them lived in Hawai`i.","Hawaiian is very similar to other languages that are spoken on the Polynesian Islands of the Pacific Ocean, including Tahitian, Samoan, and Mori.","Besides Native Hawaiians, tens of thousands of people from other Pacific Islander communities live in Hawai`i today, including over 37,000 Samoans.","A"
